run_id,snapshot_ts,symbol,expiration_date,dte,stock_price,short_strike,long_strike,width,premium,premium_per_width,max_profit,max_loss,risk_reward_ratio,ev_score,short_delta,short_iv,atm_iv,skew_ratio,skew_diff,earnings_within_dte,candidate_status,selected,rejection_reason_primary,rejection_reason_flags
20260319_110841,2026-03-19T11:08:41.684431,CF,2026-05-01,43,129.025,105.0,100.0,5,-10.0,-0.02,-10.0,510.0,,,0.147210805,0.6379,0.5691,1.1209,0.0688,,rejected,False,credit_conservative,credit_conservative
20260319_110841,2026-03-19T11:08:41.684431,CF,2026-05-01,43,129.025,106.0,,,,,,,,,0.154548289,0.6284,0.5691,1.1043,0.0593,,rejected,False,short_bid_ask_width,short_bid_ask_width
20260319_110841,2026-03-19T11:08:41.684431,CF,2026-05-01,43,129.025,107.0,,,,,,,,,0.162103384,0.6185,0.5691,1.0868,0.0494,,rejected,False,short_bid_ask_width,short_bid_ask_width
20260319_110841,2026-03-19T11:08:41.684431,CF,2026-05-01,43,129.025,108.0,,,,,,,,,0.170187425,0.6091,0.5691,1.0703,0.04,,rejected,False,short_bid_ask_width,short_bid_ask_width
20260319_110841,2026-03-19T11:08:41.684431,CF,2026-05-01,43,129.025,109.0,,,,,,,,,0.179646632,0.6028,0.5691,1.0593,0.0337,,rejected,False,short_bid_ask_width,short_bid_ask_width
20260319_110841,2026-03-19T11:08:41.684431,GDX,2026-05-01,43,82.15,60.0,,,,,,,,,0.060635141,0.6362,0.5449,1.1676,0.0913,,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,GDX,2026-05-01,43,82.15,65.0,,,,,,,,,0.10887438,0.6057,0.5449,1.1115,0.0608,,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,GDX,2026-05-01,43,82.15,70.0,65.0,5,26.0,0.052,26.0,474.0,18.2308,,0.177603028,0.5656,0.5449,1.038,0.0207,,rejected,False,credit_conservative,credit_conservative
20260319_110841,2026-03-19T11:08:41.684431,GDX,2026-05-01,43,82.15,75.0,,,,,,,,,0.279355934,0.5441,0.5449,0.9986,-0.0007,,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,GDX,2026-05-01,43,82.15,80.0,,,,,,,,,0.40513903,0.5418,0.5449,0.9944,-0.003,,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,NEM,2026-05-01,43,97.555,70.0,,,,,,,,,0.055806313,0.652,0.5342,1.2205,0.1178,2026-04-22,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,NEM,2026-05-01,43,97.555,75.0,,,,,,,,,0.093260584,0.6297,0.5342,1.1787,0.0954,2026-04-22,rejected,False,delta_bounds,delta_bounds
20260319_110841,2026-03-19T11:08:41.684431,NEM,2026-05-01,43,97.555,80.0,75.0,5,-142.0,-0.284,-142.0,642.0,,,0.143314038,0.5982,0.5342,1.1198,0.064,2026-04-22,rejected,False,credit_conservative,credit_conservative
